  [00:06:51Z] worker config: "delivery_dedup_ttl":"1m0s", "stale_claim_timeout":"20s"
  [00:06:51Z] posting 40 events
  [00:06:51Z] in flight: 8
  [00:06:52Z] KILL -9

  time       delivering   delivered    sink       dups
  00:06:53Z  40           0            8          0
  00:07:03Z  40           0            8          0
  00:07:14Z  40           0            8          0
  00:07:24Z  40           0            8          0
  00:07:34Z  37           3            11         0
  00:07:45Z  33           7            15         0
  00:07:55Z  30           10           18         0
  00:08:05Z  4            36           44         7
  00:08:16Z  0            40           48         8
  00:08:26Z  0            40           48         8
  00:08:37Z  0            40           48         8
  00:08:47Z  0            40           48         8
  00:08:57Z  0            40           48         8
  00:09:08Z  0            40           48         8
  00:09:18Z  0            40           48         8
  00:09:29Z  0            40           48         8
  00:09:39Z  0            40           48         8
  00:09:50Z  0            40           48         8
  00:10:00Z  0            40           48         8
  00:10:11Z  0            40           48         8
  00:10:21Z  0            40           48         8
  00:10:32Z  0            40           48         8
  00:10:42Z  0            40           48         8
  00:10:52Z  0            40           48         8
  00:11:03Z  0            40           48         8
  00:11:13Z  0            40           48         8
  00:11:24Z  0            40           48         8
  00:11:34Z  0            40           48         8
  00:11:44Z  0            40           48         8
  00:11:55Z  0            40           48         8

  final: 8 duplicate (event, attempt) pairs, 0 still stranded
  PREDICTION CONFIRMED: the guard delayed the duplicate, it did not prevent it.
